customer_tweet_id,customer_id,customer_created_at,customer_text,customer_text_raw,reply_tweet_id,reply_created_at,reply_text,reply_text_raw,response_minutes,reply_asks_dm
2630198,742763,2017-11-17 16:27:26+00:00,A very harsh battery life on my iPhone .Please fix it with a software update <URL>,@AppleSupport A very harsh battery life on my iPhone .Please fix it with a software update https://t.co/XFiasD3IIb,2630197,2017-11-17 17:56:31+00:00,Happy to look into this with you. What app seems to be using the most battery power here? Scroll up a bit to see. DM us and let us know. <URL>,@742763 Happy to look into this with you. What app seems to be using the most battery power here? Scroll up a bit to see. DM us and let us know. https://t.co/GDrqU22YpT,89.1,True
1771776,532221,2017-11-08 00:59:43+00:00,"why does it say an error occurred every time I update iOS, it happens every time <URL>","@AppleSupport @115858 why does it say an error occurred every time I update iOS, it happens every time https://t.co/7gCFTMwfTM",1771775,2017-11-08 01:32:58+00:00,We've received your DM. Be on the lookout for our response there shortly.,@532221 We've received your DM. Be on the lookout for our response there shortly.,33.2,True
2060147,407114,2017-10-07 11:46:59+00:00,Why does my 2011 Kia Picanto’s dock no longer work with my iPhone since the iOS 11 update? Just spent 2 hours trying. 😑,@AppleSupport Why does my 2011 Kia Picanto’s dock no longer work with my iPhone since the iOS 11 update? Just spent 2 hours trying. 😑,2060145,2017-10-07 15:38:34+00:00,We can take a look at what's happening. Have you tried restarting your iPhone already? DM us with the answer. <URL>,@407114 We can take a look at what's happening. Have you tried restarting your iPhone already? DM us with the answer. https://t.co/GDrqU22YpT,231.6,True
1756352,528851,2017-11-07 16:55:23+00:00,"Do you know if there's going to be a patch for this issue with the keyboard and the letter ""i""?","@AppleSupport Do you know if there's going to be a patch for this issue with the keyboard and the letter ""i""?",1756351,2017-11-07 19:38:00+00:00,Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,@528851 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,162.6,False
2007501,378854,2017-11-04 03:53:04+00:00,.@user why do my letters keep turning into weird question marks ?? Pls help,.@115858 why do my letters keep turning into weird question marks ?? Pls help,2007500,2017-11-04 14:16:00+00:00,We're happy to assist. Which iOS version are you currently running? Go to Settings > General > About for the version. DM us. <URL>,@378854 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version. DM us. https://t.co/GDrqU22YpT,622.9,True
400866,183011,2017-10-09 18:32:24+00:00,are the airpods somehow compatible with an android phone?,@AppleSupport are the airpods somehow compatible with an android phone?,400864,2017-10-09 19:36:00+00:00,Great question. The compatible devices for AirPods are listed at the following link under 'Compatibility': <URL>,@183011 Great question. The compatible devices for AirPods are listed at the following link under 'Compatibility': https://t.co/Kd8IAdG7nA,63.6,False
387227,207664,2017-10-09 05:29:14+00:00,Hi @user @AppleSupport since ios11 I experience many connection problems with #CarPlay...☹️ <URL>,Hi @115858 @AppleSupport since ios11 I experience many connection problems with #CarPlay...☹️ https://t.co/HKvmf4iV3A,387226,2017-10-09 13:32:37+00:00,We know how important it is that CarPlay works for you. Try the steps at <URL> and let us know what happens.,@207664 We know how important it is that CarPlay works for you. Try the steps at https://t.co/25j2RKg8Ru and let us know what happens.,483.4,False
1640821,330092,2017-11-05 22:18:07+00:00,Um hey @AppleSupport @user can you please fix this annoying af autocorrect with the new update?? I can’t type I 😐,Um hey @AppleSupport @115858 can you please fix this annoying af autocorrect with the new update?? I can’t type I 😐,1640819,2017-11-05 23:49:00+00:00,Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,@330092 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,90.9,False
1941026,577242,2017-10-29 21:57:37+00:00,"My phone overheats after 10 minutes of being in a call, my battery dies within an hour, and my camera won’t work. Any ideas? @AppleSupport","My phone overheats after 10 minutes of being in a call, my battery dies within an hour, and my camera won’t work. Any ideas? @AppleSupport",1941025,2017-10-29 22:02:27+00:00,Let's see what we can do to help. Send us a DM with your current iOS version and iPhone type to get started. <URL>,@577242 Let's see what we can do to help. Send us a DM with your current iOS version and iPhone type to get started. https://t.co/GDrqU22YpT,4.8,True
2677429,244392,2017-10-31 13:44:25+00:00,Hi @AppleSupport my iPhone 6s Plus battery doesn’t seem to hold its charge too well. Anything you can do to find out the problem?,Hi @AppleSupport my iPhone 6s Plus battery doesn’t seem to hold its charge too well. Anything you can do to find out the problem?,2677427,2017-10-31 14:23:31+00:00,"Absolutely! We’ll be glad to see how we can help. To start, can you tell us the iOS version your iPhone is on?","@244392 Absolutely! We’ll be glad to see how we can help. To start, can you tell us the iOS version your iPhone is on?",39.1,False
